Publication Years	Record Count	% of 1,607,326
2021	77971	4.851
2019	75775	4.714
2020	74492	4.635
2022	71333	4.438
2018	70078	4.360
2017	67184	4.180
2016	66088	4.112
2015	63519	3.952
2014	62015	3.858
2013	59610	3.709
2012	56321	3.504
2011	53965	3.357
2010	51909	3.230
2009	48816	3.037
2008	44312	2.757
2007	41846	2.603
2006	38695	2.407
2005	35708	2.222
2004	31630	1.968
2003	29233	1.819
2002	27751	1.727
2000	26690	1.661
2001	26210	1.631
1998	26129	1.626
1999	25854	1.609
1997	25589	1.592
1996	24167	1.504
1995	23560	1.466
2023	22902	1.425
1994	22605	1.406
1993	20289	1.262
1992	17605	1.095
1991	16061	0.999
1990	15817	0.984
1988	14777	0.919
1989	14458	0.900
1987	14266	0.888
1986	13630	0.848
1985	13035	0.811
1984	12253	0.762
1983	11440	0.712
1982	10195	0.634
1981	9099	0.566
1980	8224	0.512
1979	7870	0.490
1978	7170	0.446
1977	6814	0.424
1976	5576	0.347
1975	5229	0.325
1974	4823	0.300
1973	4486	0.279
1972	659	0.041
1970	198	0.012
1971	179	0.011
1968	124	0.008
1969	110	0.007
1967	109	0.007
1966	78	0.005
1937	76	0.005
1939	73	0.005
1941	56	0.003
1938	50	0.003
1934	42	0.003
1935	39	0.002
1940	39	0.002
1936	32	0.002
1928	28	0.002
1900	26	0.002
1932	26	0.002
1929	21	0.001
1931	21	0.001
1926	20	0.001
1930	18	0.001
1942	18	0.001
1933	17	0.001
1927	15	0.001
1965	15	0.001
1923	14	0.001
1944	14	0.001
1921	13	0.001
1925	13	0.001
1922	11	0.001
1955	8	0.000
1915	7	0.000
1920	7	0.000
1912	6	0.000
1913	6	0.000
1924	6	0.000
1943	6	0.000
1901	5	0.000
1952	5	0.000
1949	4	0.000
1954	4	0.000
1950	3	0.000
1958	3	0.000
1906	2	0.000
1908	2	0.000
1910	2	0.000
1911	2	0.000
1914	2	0.000
1916	2	0.000
1918	2	0.000
1946	2	0.000
1947	2	0.000
1951	2	0.000
1904	1	0.000
1905	1	0.000
1907	1	0.000
1909	1	0.000
1917	1	0.000
1919	1	0.000
1948	1	0.000
1953	1	0.000
